time	DeviceName	AccX(g)	AccY(g)	AccZ(g)	AsX(°/s)	AsY(°/s)	AsZ(°/s)	AngleX(°)	AngleY(°)	AngleZ(°)	HX(uT)	HY(uT)	HZ(uT)	Q0()	Q1()	Q2()	Q3()	Temperature(°C)	Version()	Battery level(%)
2025-5-25 10:37:10.671	WT901BLE68(801231B9234C)	-1.142	-0.125	-0.111	12.207	-3.296	22.705	-171.70	82.29	6.34	45.080	-20.286	8.036	0.01807	-0.76294	-0.00909	0.64609	22.6	13111	100
2025-5-25 10:37:10.671	WT901BLE68(801231B9234C)	-1.253	-0.068	-0.164	15.869	3.418	35.583	-175.14	82.38	2.52	45.080	-20.286	8.036	0.01807	-0.76294	-0.00909	0.64609	22.6	13111	100
2025-5-25 10:37:10.733	WT901BLE68(801231B9234C)	-1.263	0.036	-0.206	18.127	11.780	37.659	-179.45	82.27	-2.24	45.080	-20.286	8.036	0.01807	-0.76294	-0.00909	0.64609	22.6	13111	100
2025-5-25 10:37:10.733	WT901BLE68(801231B9234C)	-1.213	0.072	-0.258	25.574	12.817	41.748	175.98	82.01	-7.33	45.080	-20.286	8.036	0.01807	-0.76294	-0.00909	0.64609	22.6	13111	100
2025-5-25 10:37:10.761	WT901BLE68(801231B9234C)	-1.184	0.064	-0.250	35.767	7.996	38.757	171.75	81.74	-12.27	43.414	-23.618	7.840	0.01807	-0.76294	-0.00909	0.64609	22.6	13111	100
2025-5-25 10:37:10.761	WT901BLE68(801231B9234C)	-1.238	0.129	-0.184	39.612	-5.798	27.100	168.77	81.64	-16.09	43.414	-23.618	7.840	0.01807	-0.76294	-0.00909	0.64609	22.6	13111	100
2025-5-25 10:37:10.792	WT901BLE68(801231B9234C)	-1.077	0.233	-0.108	32.471	-41.443	16.418	166.30	82.12	-19.28	43.414	-23.618	7.840	0.01807	-0.76294	-0.00909	0.64609	22.6	13111	100
2025-5-25 10:37:10.792	WT901BLE68(801231B9234C)	-1.058	0.264	-0.131	14.221	-67.627	7.141	163.10	83.19	-22.94	43.414	-23.618	7.840	0.01807	-0.76294	-0.00909	0.64609	22.6	13111	100
2025-5-25 10:37:10.852	WT901BLE68(801231B9234C)	-0.954	0.295	-0.079	-11.292	-86.792	-1.892	158.35	84.69	-27.69	43.414	-23.618	7.840	0.01807	-0.76294	-0.00909	0.64609	22.6	13111	100
2025-5-25 10:37:10.852	WT901BLE68(801231B9234C)	-0.844	0.327	-0.113	-35.889	-105.530	8.789	146.58	86.40	-38.96	43.414	-23.618	7.840	0.01807	-0.76294	-0.00909	0.64609	22.6	13111	100
2025-5-25 10:37:10.884	WT901BLE68(801231B9234C)	-0.824	0.406	-0.057	-56.335	-104.492	26.062	117.27	87.37	-67.41	43.414	-23.618	7.840	0.01807	-0.76294	-0.00909	0.64609	22.6	13111	100
2025-5-25 10:37:10.884	WT901BLE68(801231B9234C)	-0.761	0.428	-0.014	-74.768	-119.568	41.992	76.77	86.84	-106.59	43.414	-23.618	7.840	0.01807	-0.76294	-0.00909	0.64609	22.6	13111	100
2025-5-25 10:37:10.914	WT901BLE68(801231B9234C)	-0.493	0.521	0.106	-102.661	-139.771	54.993	52.15	84.73	-129.33	43.414	-23.618	7.840	0.01807	-0.76294	-0.00909	0.64609	22.6	13111	100
