time	DeviceName	AccX(g)	AccY(g)	AccZ(g)	AsX(°/s)	AsY(°/s)	AsZ(°/s)	AngleX(°)	AngleY(°)	AngleZ(°)	HX(uT)	HY(uT)	HZ(uT)	Q0()	Q1()	Q2()	Q3()	Temperature(°C)	Version()	Battery level(%)
2025-5-25 10:41:6.174	WT901BLE68(801231B9234C)	-0.212	0.971	0.197	1.282	0.366	1.343	79.27	11.07	163.15	15.386	-44.786	17.542	0.18558	0.03366	0.63132	0.75217	21.0	13111	100
2025-5-25 10:41:6.174	WT901BLE68(801231B9234C)	-0.212	0.967	0.192	-0.061	-0.244	1.465	79.27	11.06	163.18	15.386	-44.786	17.542	0.18558	0.03366	0.63132	0.75217	21.0	13111	100
2025-5-25 10:41:6.203	WT901BLE68(801231B9234C)	-0.213	0.963	0.189	-1.160	0.061	1.831	79.24	11.04	163.22	15.386	-44.786	17.542	0.18558	0.03366	0.63132	0.75217	21.0	13111	100
2025-5-25 10:41:6.203	WT901BLE68(801231B9234C)	-0.217	0.953	0.185	-2.380	0.000	2.197	79.19	11.02	163.26	15.386	-44.786	17.542	0.18558	0.03366	0.63132	0.75217	21.0	13111	100
2025-5-25 10:41:6.234	WT901BLE68(801231B9234C)	-0.216	0.943	0.179	-3.662	0.244	1.892	79.12	11.00	163.31	15.386	-44.786	17.542	0.18558	0.03366	0.63132	0.75217	21.0	13111	100
2025-5-25 10:41:6.234	WT901BLE68(801231B9234C)	-0.222	0.943	0.169	-4.395	-0.061	1.526	79.03	10.99	163.35	15.386	-44.786	17.542	0.18558	0.03366	0.63132	0.75217	21.0	13111	100
2025-5-25 10:41:6.296	WT901BLE68(801231B9234C)	-0.228	0.939	0.161	-4.944	-0.061	1.282	78.93	10.98	163.39	15.386	-44.786	17.542	0.18558	0.03366	0.63132	0.75217	21.0	13111	100
2025-5-25 10:41:6.296	WT901BLE68(801231B9234C)	-0.231	0.937	0.154	-4.761	-0.793	1.099	78.83	10.98	163.43	15.386	-44.786	17.542	0.18558	0.03366	0.63132	0.75217	21.0	13111	100
2025-5-25 10:41:6.323	WT901BLE68(801231B9234C)	-0.230	0.944	0.146	-4.272	-2.563	0.977	78.74	10.98	163.44	15.386	-44.786	17.542	0.18558	0.03366	0.63132	0.75217	21.0	13111	100
2025-5-25 10:41:6.323	WT901BLE68(801231B9234C)	-0.226	0.949	0.141	-4.150	-3.540	0.244	78.65	10.99	163.43	15.386	-44.786	17.542	0.16812	0.02206	0.63779	0.75122	21.0	13111	100
2025-5-25 10:41:6.357	WT901BLE68(801231B9234C)	-0.222	0.967	0.125	-3.174	-3.113	-0.305	78.59	11.01	163.40	15.386	-44.786	17.542	0.16812	0.02206	0.63779	0.75122	21.0	13111	100
2025-5-25 10:41:6.357	WT901BLE68(801231B9234C)	-0.229	0.960	0.127	-2.991	-0.366	-1.038	78.54	11.05	163.42	15.386	-44.786	17.542	0.16812	0.02206	0.63779	0.75122	21.0	13111	100
2025-5-25 10:41:6.414	WT901BLE68(801231B9234C)	-0.239	0.945	0.129	-2.258	0.000	-3.784	78.51	11.13	163.47	15.386	-44.786	17.542	0.16812	0.02206	0.63779	0.75122	21.0	13111	100
2025-5-25 10:41:6.414	WT901BLE68(801231B9234C)	-0.233	0.959	0.119	-1.709	-1.587	-5.981	78.49	11.26	163.48	15.386	-44.786	17.542	0.16812	0.02206	0.63779	0.75122	21.0	13111	100
2025-5-25 10:41:6.443	WT901BLE68(801231B9234C)	-0.225	0.956	0.116	-0.671	-2.930	-6.653	78.48	11.40	163.45	15.386	-44.786	17.542	0.16812	0.02206	0.63779	0.75122	21.0	13111	100
2025-5-25 10:41:6.443	WT901BLE68(801231B9234C)	-0.225	0.958	0.119	0.305	-4.395	-7.996	78.49	11.57	163.39	15.386	-44.786	17.542	0.16812	0.02206	0.63779	0.75122	21.0	13111	100
2025-5-25 10:41:6.477	WT901BLE68(801231B9234C)	-0.221	0.966	0.118	0.916	-4.272	-8.606	78.51	11.74	163.32	15.386	-44.786	17.542	0.16812	0.02206	0.63779	0.75122	21.0	13111	100
