time	DeviceName	AccX(g)	AccY(g)	AccZ(g)	AsX(°/s)	AsY(°/s)	AsZ(°/s)	AngleX(°)	AngleY(°)	AngleZ(°)	HX(uT)	HY(uT)	HZ(uT)	Q0()	Q1()	Q2()	Q3()	Temperature(°C)	Version()	Battery level(%)
2025-5-25 10:3:38.605	WT901BLE68(801231B9234C)	-0.310	0.771	0.154	-3.479	-6.287	-101.990	74.55	18.97	-113.86	-14.798	-38.416	1.764	-0.39764	-0.30127	0.53479	0.68188	23.4	13111	100
2025-5-25 10:3:38.605	WT901BLE68(801231B9234C)	-0.321	0.750	0.166	-2.747	1.953	-101.929	74.36	20.95	-114.40	-14.798	-38.416	1.764	-0.39764	-0.30127	0.53479	0.68188	23.4	13111	100
2025-5-25 10:3:38.651	WT901BLE68(801231B9234C)	-0.315	0.744	0.190	-3.113	10.742	-99.792	74.22	22.92	-114.76	-14.798	-38.416	1.764	-0.39764	-0.30127	0.53479	0.68188	23.4	13111	100
2025-5-25 10:3:38.651	WT901BLE68(801231B9234C)	-0.334	0.738	0.227	-3.967	19.165	-94.116	74.12	24.82	-114.96	-14.798	-38.416	1.764	-0.39764	-0.30127	0.53479	0.68188	23.4	13111	100
2025-5-25 10:3:38.675	WT901BLE68(801231B9234C)	-0.322	0.718	0.238	-5.432	22.888	-86.304	74.04	26.61	-115.06	-14.798	-38.416	1.764	-0.29874	-0.47009	0.39963	0.72797	23.4	13111	100
2025-5-25 10:3:38.675	WT901BLE68(801231B9234C)	-0.308	0.706	0.237	-6.775	23.438	-73.059	73.95	28.17	-115.10	-14.798	-38.416	1.764	-0.29874	-0.47009	0.39963	0.72797	23.4	13111	100
2025-5-25 10:3:38.724	WT901BLE68(801231B9234C)	-0.281	0.697	0.248	-6.592	23.926	-62.561	73.88	29.50	-115.12	-14.798	-38.416	1.764	-0.29874	-0.47009	0.39963	0.72797	23.4	13111	100
2025-5-25 10:3:38.724	WT901BLE68(801231B9234C)	-0.265	0.716	0.268	-6.470	26.184	-51.941	73.84	30.62	-115.09	-14.798	-38.416	1.764	-0.29874	-0.47009	0.39963	0.72797	23.4	13111	100
2025-5-25 10:3:38.763	WT901BLE68(801231B9234C)	-0.250	0.736	0.280	-5.920	29.053	-42.542	73.87	31.55	-115.00	-14.798	-38.416	1.764	-0.29874	-0.47009	0.39963	0.72797	23.4	13111	100
2025-5-25 10:3:38.763	WT901BLE68(801231B9234C)	-0.240	0.761	0.291	-4.944	31.433	-33.020	73.95	32.29	-114.86	-14.798	-38.416	1.764	-0.29874	-0.47009	0.39963	0.72797	23.4	13111	100
