time	DeviceName	AccX(g)	AccY(g)	AccZ(g)	AsX(°/s)	AsY(°/s)	AsZ(°/s)	AngleX(°)	AngleY(°)	AngleZ(°)	HX(uT)	HY(uT)	HZ(uT)	Q0()	Q1()	Q2()	Q3()	Temperature(°C)	Version()	Battery level(%)
2025-5-25 10:32:25.611	WT901BLE68(801231B9234C)	0.346	1.609	0.240	131.348	-116.577	357.666	31.23	39.05	-16.73	31.458	21.266	-25.970	-0.79810	-0.13669	-0.44974	0.37680	24.4	13111	100
2025-5-25 10:32:25.611	WT901BLE68(801231B9234C)	0.491	2.122	0.093	155.151	-59.875	363.647	38.24	33.30	-9.95	22.540	-0.882	-36.162	-0.79810	-0.13669	-0.44974	0.37680	24.4	13111	100
2025-5-25 10:32:25.668	WT901BLE68(801231B9234C)	0.386	2.604	-0.115	196.960	69.092	372.864	45.75	28.35	-2.80	22.540	-0.882	-36.162	-0.79810	-0.13669	-0.44974	0.37680	24.4	13111	100
2025-5-25 10:32:25.669	WT901BLE68(801231B9234C)	0.032	2.674	-0.327	218.018	220.459	377.441	53.99	24.47	5.80	22.540	-0.882	-36.162	-0.79810	-0.13669	-0.44974	0.37680	24.4	13111	100
2025-5-25 10:32:25.698	WT901BLE68(801231B9234C)	-0.426	2.716	-0.321	223.938	303.955	394.104	62.44	20.48	15.64	22.540	-0.882	-36.162	-0.79810	-0.13669	-0.44974	0.37680	24.4	13111	100
2025-5-25 10:32:25.698	WT901BLE68(801231B9234C)	-0.836	2.623	-0.031	194.763	249.268	380.432	69.51	15.39	24.42	22.540	-0.882	-36.162	-0.79810	-0.13669	-0.44974	0.37680	24.4	13111	100
2025-5-25 10:32:25.727	WT901BLE68(801231B9234C)	-0.643	2.467	0.273	139.771	49.561	315.979	73.92	9.57	29.20	22.540	-0.882	-36.162	-0.79810	-0.13669	-0.44974	0.37680	24.4	13111	100
2025-5-25 10:32:25.727	WT901BLE68(801231B9234C)	-0.241	2.507	0.128	143.677	-115.723	254.089	76.88	3.88	29.20	22.540	-0.882	-36.162	-0.79810	-0.13669	-0.44974	0.37680	24.4	13111	100
2025-5-25 10:32:25.791	WT901BLE68(801231B9234C)	-0.211	2.729	0.036	142.944	-87.830	194.702	79.84	-0.70	27.78	22.540	-0.882	-36.162	-0.79810	-0.13669	-0.44974	0.37680	24.4	13111	100
2025-5-25 10:32:25.791	WT901BLE68(801231B9234C)	-0.590	2.766	0.173	131.775	36.255	152.710	82.63	-3.94	27.90	22.540	-0.882	-36.162	-0.79810	-0.13669	-0.44974	0.37680	24.4	13111	100
